
2024/01/23 (23:36:01) | ===> btop++ v.1.3.0
2024/01/23 (23:36:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (23:36:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (23:36:48) | ===> btop++ v.1.3.0
2024/01/23 (23:36:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (23:36:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (13:16:47) | ===> btop++ v.1.3.0
2024/01/25 (13:16:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (13:16:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (20:00:22) | ===> btop++ v.1.3.0
2024/01/25 (20:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (20:00:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/25 (21:25:02) | ===> btop++ v.1.3.0
2024/01/25 (21:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/25 (21:25:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (01:29:20) | ===> btop++ v.1.3.0
2024/01/27 (01:29:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (01:29:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:15:14) | ===> btop++ v.1.3.0
2024/01/27 (03:15:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:15:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:23:32) | ===> btop++ v.1.3.0
2024/01/27 (03:23:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:23:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (03:24:17) | ===> btop++ v.1.3.0
2024/01/27 (03:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/27 (03:24:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/29 (01:14:12) | ===> btop++ v.1.3.0
2024/01/29 (01:14:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/29 (01:14:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/31 (06:58:37) | ===> btop++ v.1.3.0
2024/01/31 (06:58:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/31 (06:58:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/07 (15:39:15) | ===> btop++ v.1.3.0
2024/02/07 (15:39:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/07 (15:39:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/10 (22:10:16) | ===> btop++ v.1.3.0
2024/02/10 (22:10:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/10 (22:10:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:24:00) | ===> btop++ v.1.3.0
2024/02/11 (10:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:24:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:27:20) | ===> btop++ v.1.3.0
2024/02/11 (10:27:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:27:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:40:31) | ===> btop++ v.1.3.0
2024/02/11 (10:40:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:40:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:45:24) | ===> btop++ v.1.3.0
2024/02/11 (10:45:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:45:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (10:48:35) | ===> btop++ v.1.3.0
2024/02/11 (10:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (10:48:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (11:17:23) | ===> btop++ v.1.3.0
2024/02/11 (11:17:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/11 (11:17:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/11 (22:06:36) | ===> btop++ v.1.3.0
